Epoch: 0 | mean loss: 254.24149 | total acc: 0.35143 | total recall: 0.30479 | total f1 scroe: 0.32646
Epoch: 1 | mean loss: 233.87000 | total acc: 0.42635 | total recall: 0.39897 | total f1 scroe: 0.41221
Epoch: 2 | mean loss: 121.80030 | total acc: 0.55409 | total recall: 0.53938 | total f1 scroe: 0.54664
Epoch: 3 | mean loss: 71.96687 | total acc: 0.61242 | total recall: 0.59932 | total f1 scroe: 0.60580
Epoch: 4 | mean loss: 71.16614 | total acc: 0.58596 | total recall: 0.57192 | total f1 scroe: 0.57886
Epoch: 5 | mean loss: 64.72510 | total acc: 0.59863 | total recall: 0.59760 | total f1 scroe: 0.59811
Epoch: 6 | mean loss: 61.00443 | total acc: 0.59722 | total recall: 0.58904 | total f1 scroe: 0.59310
Epoch: 7 | mean loss: 71.76966 | total acc: 0.57106 | total recall: 0.57106 | total f1 scroe: 0.57106
Epoch: 8 | mean loss: 56.47406 | total acc: 0.61558 | total recall: 0.60873 | total f1 scroe: 0.61214
Epoch: 9 | mean loss: 49.73625 | total acc: 0.62892 | total recall: 0.61815 | total f1 scroe: 0.62349
Epoch: 10 | mean loss: 46.13198 | total acc: 0.62705 | total recall: 0.62329 | total f1 scroe: 0.62516
Epoch: 11 | mean loss: 41.93098 | total acc: 0.62896 | total recall: 0.62842 | total f1 scroe: 0.62869
Epoch: 12 | mean loss: 41.52707 | total acc: 0.60963 | total recall: 0.60702 | total f1 scroe: 0.60832
Epoch: 13 | mean loss: 43.38055 | total acc: 0.62403 | total recall: 0.62243 | total f1 scroe: 0.62323
Epoch: 14 | mean loss: 41.75971 | total acc: 0.61265 | total recall: 0.60531 | total f1 scroe: 0.60896
Epoch: 15 | mean loss: 35.93453 | total acc: 0.64378 | total recall: 0.64212 | total f1 scroe: 0.64295
Epoch: 16 | mean loss: 32.39282 | total acc: 0.64083 | total recall: 0.63699 | total f1 scroe: 0.63890
Epoch: 17 | mean loss: 30.35642 | total acc: 0.63527 | total recall: 0.63527 | total f1 scroe: 0.63527
Epoch: 18 | mean loss: 33.01158 | total acc: 0.61757 | total recall: 0.61387 | total f1 scroe: 0.61571
Epoch: 19 | mean loss: 34.50517 | total acc: 0.61801 | total recall: 0.60531 | total f1 scroe: 0.61159
Epoch: 20 | mean loss: 27.35382 | total acc: 0.63908 | total recall: 0.64127 | total f1 scroe: 0.64017
Epoch: 21 | mean loss: 27.46830 | total acc: 0.64416 | total recall: 0.63699 | total f1 scroe: 0.64055
Epoch: 22 | mean loss: 26.36285 | total acc: 0.63761 | total recall: 0.63870 | total f1 scroe: 0.63815
Epoch: 23 | mean loss: 24.78181 | total acc: 0.64485 | total recall: 0.63271 | total f1 scroe: 0.63872
Epoch: 24 | mean loss: 25.11238 | total acc: 0.63140 | total recall: 0.62329 | total f1 scroe: 0.62732
Epoch: 25 | mean loss: 21.22018 | total acc: 0.66173 | total recall: 0.64983 | total f1 scroe: 0.65572
Epoch: 26 | mean loss: 20.92812 | total acc: 0.63918 | total recall: 0.63699 | total f1 scroe: 0.63808
Epoch: 27 | mean loss: 21.72790 | total acc: 0.62479 | total recall: 0.62586 | total f1 scroe: 0.62532
Epoch: 28 | mean loss: 20.97248 | total acc: 0.63438 | total recall: 0.62243 | total f1 scroe: 0.62835
Epoch: 29 | mean loss: 20.08567 | total acc: 0.62992 | total recall: 0.61644 | total f1 scroe: 0.62311
Epoch: 30 | mean loss: 18.09423 | total acc: 0.63565 | total recall: 0.61986 | total f1 scroe: 0.62765
Epoch: 31 | mean loss: 17.08779 | total acc: 0.66433 | total recall: 0.64897 | total f1 scroe: 0.65656
Epoch: 32 | mean loss: 16.22394 | total acc: 0.64411 | total recall: 0.62757 | total f1 scroe: 0.63573
Epoch: 33 | mean loss: 16.61182 | total acc: 0.64354 | total recall: 0.63527 | total f1 scroe: 0.63938
Epoch: 34 | mean loss: 16.39521 | total acc: 0.63518 | total recall: 0.62757 | total f1 scroe: 0.63135
Epoch: 35 | mean loss: 13.05328 | total acc: 0.64996 | total recall: 0.63271 | total f1 scroe: 0.64121
Epoch: 36 | mean loss: 13.11149 | total acc: 0.63896 | total recall: 0.63185 | total f1 scroe: 0.63539
Epoch: 37 | mean loss: 12.67758 | total acc: 0.65909 | total recall: 0.64555 | total f1 scroe: 0.65225
Epoch: 38 | mean loss: 12.23745 | total acc: 0.65520 | total recall: 0.63613 | total f1 scroe: 0.64553
Epoch: 39 | mean loss: 12.02051 | total acc: 0.63874 | total recall: 0.62671 | total f1 scroe: 0.63267
Epoch: 40 | mean loss: 11.20072 | total acc: 0.67347 | total recall: 0.64983 | total f1 scroe: 0.66144
Epoch: 41 | mean loss: 11.01146 | total acc: 0.63716 | total recall: 0.62243 | total f1 scroe: 0.62971
Epoch: 42 | mean loss: 10.57634 | total acc: 0.67860 | total recall: 0.66524 | total f1 scroe: 0.67185
Epoch: 43 | mean loss: 10.78069 | total acc: 0.64536 | total recall: 0.63099 | total f1 scroe: 0.63810
Epoch: 44 | mean loss: 10.38255 | total acc: 0.65641 | total recall: 0.63955 | total f1 scroe: 0.64788
Epoch: 45 | mean loss: 9.61704 | total acc: 0.65058 | total recall: 0.62329 | total f1 scroe: 0.63664
Epoch: 46 | mean loss: 8.51704 | total acc: 0.68314 | total recall: 0.66267 | total f1 scroe: 0.67275
Epoch: 47 | mean loss: 8.71701 | total acc: 0.66994 | total recall: 0.64298 | total f1 scroe: 0.65618
Epoch: 48 | mean loss: 8.64275 | total acc: 0.67469 | total recall: 0.64812 | total f1 scroe: 0.66114
Epoch: 49 | mean loss: 8.12899 | total acc: 0.65330 | total recall: 0.62757 | total f1 scroe: 0.64017
Epoch: 50 | mean loss: 7.84910 | total acc: 0.67816 | total recall: 0.65668 | total f1 scroe: 0.66725
Epoch: 51 | mean loss: 7.61558 | total acc: 0.66399 | total recall: 0.63784 | total f1 scroe: 0.65066
Epoch: 52 | mean loss: 7.09246 | total acc: 0.68778 | total recall: 0.66010 | total f1 scroe: 0.67366
Epoch: 53 | mean loss: 7.21796 | total acc: 0.68369 | total recall: 0.65325 | total f1 scroe: 0.66813
Epoch: 54 | mean loss: 7.32517 | total acc: 0.67089 | total recall: 0.63527 | total f1 scroe: 0.65259
Epoch: 55 | mean loss: 6.19370 | total acc: 0.70721 | total recall: 0.67209 | total f1 scroe: 0.68920
Epoch: 56 | mean loss: 6.35837 | total acc: 0.70148 | total recall: 0.64983 | total f1 scroe: 0.67467
Epoch: 57 | mean loss: 6.40033 | total acc: 0.69315 | total recall: 0.64983 | total f1 scroe: 0.67079
Epoch: 58 | mean loss: 6.15980 | total acc: 0.70508 | total recall: 0.66524 | total f1 scroe: 0.68458
Epoch: 59 | mean loss: 5.96616 | total acc: 0.69565 | total recall: 0.65753 | total f1 scroe: 0.67606
Epoch: 60 | mean loss: 5.64953 | total acc: 0.70377 | total recall: 0.65497 | total f1 scroe: 0.67849
Epoch: 61 | mean loss: 5.71424 | total acc: 0.71520 | total recall: 0.66866 | total f1 scroe: 0.69115
Epoch: 62 | mean loss: 5.31084 | total acc: 0.71494 | total recall: 0.66781 | total f1 scroe: 0.69057
Epoch: 63 | mean loss: 5.24034 | total acc: 0.73001 | total recall: 0.66438 | total f1 scroe: 0.69565
Epoch: 64 | mean loss: 5.36330 | total acc: 0.70896 | total recall: 0.65068 | total f1 scroe: 0.67857
Epoch: 65 | mean loss: 4.83986 | total acc: 0.74767 | total recall: 0.68750 | total f1 scroe: 0.71632
Epoch: 66 | mean loss: 4.84732 | total acc: 0.74434 | total recall: 0.67551 | total f1 scroe: 0.70826
Epoch: 67 | mean loss: 4.85560 | total acc: 0.73679 | total recall: 0.66866 | total f1 scroe: 0.70108
Epoch: 68 | mean loss: 4.83399 | total acc: 0.75612 | total recall: 0.68750 | total f1 scroe: 0.72018
Epoch: 69 | mean loss: 4.73329 | total acc: 0.74929 | total recall: 0.68065 | total f1 scroe: 0.71332
Epoch: 70 | mean loss: 4.56661 | total acc: 0.76600 | total recall: 0.68664 | total f1 scroe: 0.72415
Epoch: 71 | mean loss: 4.51264 | total acc: 0.76172 | total recall: 0.68151 | total f1 scroe: 0.71939
Epoch: 72 | mean loss: 4.47307 | total acc: 0.76144 | total recall: 0.66952 | total f1 scroe: 0.71253
Epoch: 73 | mean loss: 4.35977 | total acc: 0.77290 | total recall: 0.69349 | total f1 scroe: 0.73105
Epoch: 74 | mean loss: 4.47288 | total acc: 0.74834 | total recall: 0.67723 | total f1 scroe: 0.71101
Epoch: 75 | mean loss: 4.24261 | total acc: 0.77713 | total recall: 0.68065 | total f1 scroe: 0.72570
Epoch: 76 | mean loss: 4.16751 | total acc: 0.79277 | total recall: 0.69435 | total f1 scroe: 0.74030
Epoch: 77 | mean loss: 4.15199 | total acc: 0.79782 | total recall: 0.68921 | total f1 scroe: 0.73955
Epoch: 78 | mean loss: 4.30645 | total acc: 0.76879 | total recall: 0.68322 | total f1 scroe: 0.72348
Epoch: 79 | mean loss: 4.14145 | total acc: 0.77844 | total recall: 0.67380 | total f1 scroe: 0.72235
Epoch: 80 | mean loss: 4.04162 | total acc: 0.81395 | total recall: 0.71918 | total f1 scroe: 0.76364
Epoch: 81 | mean loss: 3.94846 | total acc: 0.79470 | total recall: 0.69264 | total f1 scroe: 0.74016
Epoch: 82 | mean loss: 4.01899 | total acc: 0.78958 | total recall: 0.68750 | total f1 scroe: 0.73501
Epoch: 83 | mean loss: 3.97138 | total acc: 0.80680 | total recall: 0.71147 | total f1 scroe: 0.75614
Epoch: 84 | mean loss: 3.97920 | total acc: 0.78282 | total recall: 0.69435 | total f1 scroe: 0.73593
Epoch: 85 | mean loss: 3.84602 | total acc: 0.81113 | total recall: 0.69863 | total f1 scroe: 0.75069
Epoch: 86 | mean loss: 3.84100 | total acc: 0.79400 | total recall: 0.70291 | total f1 scroe: 0.74569
Epoch: 87 | mean loss: 3.74617 | total acc: 0.81023 | total recall: 0.70548 | total f1 scroe: 0.75423
Epoch: 88 | mean loss: 3.83401 | total acc: 0.80588 | total recall: 0.70377 | total f1 scroe: 0.75137
Epoch: 89 | mean loss: 3.83866 | total acc: 0.79686 | total recall: 0.69521 | total f1 scroe: 0.74257
Epoch: 90 | mean loss: 3.74612 | total acc: 0.80639 | total recall: 0.71318 | total f1 scroe: 0.75693
Epoch: 91 | mean loss: 3.73301 | total acc: 0.81623 | total recall: 0.71490 | total f1 scroe: 0.76221
Epoch: 92 | mean loss: 3.77574 | total acc: 0.80652 | total recall: 0.69949 | total f1 scroe: 0.74920
Epoch: 93 | mean loss: 3.76288 | total acc: 0.82039 | total recall: 0.72346 | total f1 scroe: 0.76888
Epoch: 94 | mean loss: 3.69377 | total acc: 0.81737 | total recall: 0.70890 | total f1 scroe: 0.75928
Epoch: 95 | mean loss: 3.63899 | total acc: 0.81576 | total recall: 0.70890 | total f1 scroe: 0.75859
Epoch: 96 | mean loss: 3.67731 | total acc: 0.81908 | total recall: 0.71318 | total f1 scroe: 0.76247
Epoch: 97 | mean loss: 3.60934 | total acc: 0.81773 | total recall: 0.71062 | total f1 scroe: 0.76042
Epoch: 98 | mean loss: 3.62129 | total acc: 0.82203 | total recall: 0.71575 | total f1 scroe: 0.76522
Epoch: 99 | mean loss: 3.63035 | total acc: 0.83122 | total recall: 0.72945 | total f1 scroe: 0.77702
