Epoch: 0 | mean loss: 1558.95605 | total acc: 0.30861 | total recall: 0.26661 | total f1 scroe: 0.28608
Epoch: 1 | mean loss: 1424.06714 | total acc: 0.40468 | total recall: 0.36946 | total f1 scroe: 0.38627
Epoch: 2 | mean loss: 915.26404 | total acc: 0.43074 | total recall: 0.40348 | total f1 scroe: 0.41667
Epoch: 3 | mean loss: 1830.46045 | total acc: 0.37934 | total recall: 0.34573 | total f1 scroe: 0.36175
Epoch: 4 | mean loss: 781.89703 | total acc: 0.45417 | total recall: 0.43513 | total f1 scroe: 0.44444
Epoch: 5 | mean loss: 803.68280 | total acc: 0.43216 | total recall: 0.40823 | total f1 scroe: 0.41985
Epoch: 6 | mean loss: 818.55322 | total acc: 0.46842 | total recall: 0.45174 | total f1 scroe: 0.45993
Epoch: 7 | mean loss: 804.30920 | total acc: 0.46303 | total recall: 0.43592 | total f1 scroe: 0.44906
Epoch: 8 | mean loss: 678.27081 | total acc: 0.47395 | total recall: 0.45332 | total f1 scroe: 0.46340
Epoch: 9 | mean loss: 968.17871 | total acc: 0.43449 | total recall: 0.40665 | total f1 scroe: 0.42011
Epoch: 10 | mean loss: 707.02057 | total acc: 0.50671 | total recall: 0.47785 | total f1 scroe: 0.49186
Epoch: 11 | mean loss: 682.82489 | total acc: 0.50995 | total recall: 0.48655 | total f1 scroe: 0.49798
Epoch: 12 | mean loss: 857.88770 | total acc: 0.48170 | total recall: 0.44778 | total f1 scroe: 0.46412
Epoch: 13 | mean loss: 843.35901 | total acc: 0.46083 | total recall: 0.43750 | total f1 scroe: 0.44886
Epoch: 14 | mean loss: 1257.82434 | total acc: 0.43761 | total recall: 0.41060 | total f1 scroe: 0.42367
Epoch: 15 | mean loss: 1122.88782 | total acc: 0.46128 | total recall: 0.43354 | total f1 scroe: 0.44698
Epoch: 16 | mean loss: 846.12994 | total acc: 0.45222 | total recall: 0.43434 | total f1 scroe: 0.44310
Epoch: 17 | mean loss: 1370.70679 | total acc: 0.43599 | total recall: 0.39873 | total f1 scroe: 0.41653
Epoch: 18 | mean loss: 1341.29578 | total acc: 0.39850 | total recall: 0.37896 | total f1 scroe: 0.38848
Epoch: 19 | mean loss: 815.74756 | total acc: 0.42427 | total recall: 0.40111 | total f1 scroe: 0.41236
