Epoch: 56 | mean loss: 6.69440 | total acc: 0.77378 | total recall: 0.76522 | total f1 scroe: 0.76948
Epoch: 57 | mean loss: 8.83143 | total acc: 0.76936 | total recall: 0.74625 | total f1 scroe: 0.75762
Epoch: 58 | mean loss: 9.76213 | total acc: 0.71076 | total recall: 0.70514 | total f1 scroe: 0.70794
Epoch: 59 | mean loss: 6.99793 | total acc: 0.78520 | total recall: 0.77154 | total f1 scroe: 0.77831
Epoch: 60 | mean loss: 7.59730 | total acc: 0.75220 | total recall: 0.74387 | total f1 scroe: 0.74801
Epoch: 61 | mean loss: 8.02626 | total acc: 0.76683 | total recall: 0.73834 | total f1 scroe: 0.75232
Epoch: 62 | mean loss: 8.46024 | total acc: 0.73802 | total recall: 0.73043 | total f1 scroe: 0.73421
Epoch: 63 | mean loss: 7.64443 | total acc: 0.76696 | total recall: 0.75968 | total f1 scroe: 0.76330
Epoch: 64 | mean loss: 7.02818 | total acc: 0.78143 | total recall: 0.77154 | total f1 scroe: 0.77645
Epoch: 65 | mean loss: 7.49991 | total acc: 0.77492 | total recall: 0.76206 | total f1 scroe: 0.76843
Epoch: 66 | mean loss: 6.97558 | total acc: 0.77885 | total recall: 0.76838 | total f1 scroe: 0.77358
Epoch: 67 | mean loss: 7.83744 | total acc: 0.75481 | total recall: 0.74466 | total f1 scroe: 0.74970
Epoch: 68 | mean loss: 7.33343 | total acc: 0.77841 | total recall: 0.75810 | total f1 scroe: 0.76812
Epoch: 69 | mean loss: 7.01237 | total acc: 0.78986 | total recall: 0.77549 | total f1 scroe: 0.78261
Epoch: 70 | mean loss: 7.85092 | total acc: 0.76268 | total recall: 0.73676 | total f1 scroe: 0.74950
Epoch: 71 | mean loss: 7.25933 | total acc: 0.77706 | total recall: 0.76601 | total f1 scroe: 0.77150
Epoch: 72 | mean loss: 8.25424 | total acc: 0.74420 | total recall: 0.73597 | total f1 scroe: 0.74006
Epoch: 73 | mean loss: 7.06666 | total acc: 0.78583 | total recall: 0.78024 | total f1 scroe: 0.78302
Epoch: 74 | mean loss: 8.60440 | total acc: 0.75500 | total recall: 0.74545 | total f1 scroe: 0.75020
