Epoch: 56 | mean loss: 5.60963 | total acc: 0.71154 | total recall: 0.76027 | total f1 scroe: 0.73510
Epoch: 57 | mean loss: 15.90320 | total acc: 0.58553 | total recall: 0.60959 | total f1 scroe: 0.59732
Epoch: 58 | mean loss: 8.32112 | total acc: 0.82400 | total recall: 0.70548 | total f1 scroe: 0.76015
Epoch: 59 | mean loss: 6.87867 | total acc: 0.69906 | total recall: 0.76370 | total f1 scroe: 0.72995
Epoch: 60 | mean loss: 11.32551 | total acc: 0.67483 | total recall: 0.66096 | total f1 scroe: 0.66782
Epoch: 61 | mean loss: 7.01231 | total acc: 0.81319 | total recall: 0.76027 | total f1 scroe: 0.78584
Epoch: 62 | mean loss: 9.10953 | total acc: 0.84979 | total recall: 0.67808 | total f1 scroe: 0.75429
Epoch: 63 | mean loss: 6.64595 | total acc: 0.82374 | total recall: 0.78425 | total f1 scroe: 0.80351
Epoch: 64 | mean loss: 11.25034 | total acc: 0.78195 | total recall: 0.71233 | total f1 scroe: 0.74552
Epoch: 65 | mean loss: 6.45769 | total acc: 0.74086 | total recall: 0.76370 | total f1 scroe: 0.75211
Epoch: 66 | mean loss: 7.64172 | total acc: 0.68519 | total recall: 0.76027 | total f1 scroe: 0.72078
Epoch: 67 | mean loss: 9.03279 | total acc: 0.77407 | total recall: 0.71575 | total f1 scroe: 0.74377
Epoch: 68 | mean loss: 7.22301 | total acc: 0.73883 | total recall: 0.73630 | total f1 scroe: 0.73756
Epoch: 69 | mean loss: 5.23971 | total acc: 0.81851 | total recall: 0.78767 | total f1 scroe: 0.80279
Epoch: 70 | mean loss: 8.11093 | total acc: 0.73898 | total recall: 0.74658 | total f1 scroe: 0.74276
Epoch: 71 | mean loss: 6.55814 | total acc: 0.78519 | total recall: 0.72603 | total f1 scroe: 0.75445
Epoch: 72 | mean loss: 7.91617 | total acc: 0.75601 | total recall: 0.75342 | total f1 scroe: 0.75472
Epoch: 73 | mean loss: 7.56138 | total acc: 0.75379 | total recall: 0.68151 | total f1 scroe: 0.71583
Epoch: 74 | mean loss: 8.74337 | total acc: 0.68106 | total recall: 0.70205 | total f1 scroe: 0.69140
Epoch: 75 | mean loss: 9.42121 | total acc: 0.77236 | total recall: 0.65068 | total f1 scroe: 0.70632
Epoch: 76 | mean loss: 7.64420 | total acc: 0.87552 | total recall: 0.72260 | total f1 scroe: 0.79174
Epoch: 77 | mean loss: 6.77025 | total acc: 0.77061 | total recall: 0.73630 | total f1 scroe: 0.75306
Epoch: 78 | mean loss: 9.54525 | total acc: 0.82041 | total recall: 0.68836 | total f1 scroe: 0.74860
Epoch: 79 | mean loss: 10.34859 | total acc: 0.77652 | total recall: 0.70205 | total f1 scroe: 0.73741
Epoch: 80 | mean loss: 7.42911 | total acc: 0.81513 | total recall: 0.66438 | total f1 scroe: 0.73208
Epoch: 81 | mean loss: 11.14852 | total acc: 0.85377 | total recall: 0.61986 | total f1 scroe: 0.71825
Epoch: 82 | mean loss: 8.93829 | total acc: 0.78431 | total recall: 0.54795 | total f1 scroe: 0.64516
Epoch: 83 | mean loss: 6.31843 | total acc: 0.77241 | total recall: 0.76712 | total f1 scroe: 0.76976
Epoch: 84 | mean loss: 9.18320 | total acc: 0.78755 | total recall: 0.73630 | total f1 scroe: 0.76106
Epoch: 85 | mean loss: 6.22105 | total acc: 0.85338 | total recall: 0.77740 | total f1 scroe: 0.81362
Epoch: 86 | mean loss: 7.43406 | total acc: 0.70886 | total recall: 0.76712 | total f1 scroe: 0.73684
Epoch: 87 | mean loss: 20.63600 | total acc: 0.43020 | total recall: 0.51712 | total f1 scroe: 0.46967
Epoch: 88 | mean loss: 7.65778 | total acc: 0.73264 | total recall: 0.72260 | total f1 scroe: 0.72759
Epoch: 89 | mean loss: 9.96037 | total acc: 0.78607 | total recall: 0.54110 | total f1 scroe: 0.64097
Epoch: 90 | mean loss: 8.90450 | total acc: 0.67820 | total recall: 0.67123 | total f1 scroe: 0.67470
