Epoch: 0 | mean loss: 322.28406 | total acc: 0.66258 | total recall: 0.31858 | total f1 scroe: 0.43028
Epoch: 1 | mean loss: 232.15736 | total acc: 0.49612 | total recall: 0.56637 | total f1 scroe: 0.52893
Epoch: 2 | mean loss: 130.18747 | total acc: 0.55172 | total recall: 0.61357 | total f1 scroe: 0.58101
Epoch: 3 | mean loss: 110.37417 | total acc: 0.61236 | total recall: 0.64307 | total f1 scroe: 0.62734
Epoch: 4 | mean loss: 139.40750 | total acc: 0.47664 | total recall: 0.60177 | total f1 scroe: 0.53194
Epoch: 5 | mean loss: 96.96314 | total acc: 0.56319 | total recall: 0.60472 | total f1 scroe: 0.58321
Epoch: 6 | mean loss: 98.13811 | total acc: 0.63066 | total recall: 0.53392 | total f1 scroe: 0.57827
Epoch: 7 | mean loss: 109.11294 | total acc: 0.66038 | total recall: 0.51622 | total f1 scroe: 0.57947
Epoch: 8 | mean loss: 93.35652 | total acc: 0.65517 | total recall: 0.61652 | total f1 scroe: 0.63526
Epoch: 9 | mean loss: 103.25118 | total acc: 0.66667 | total recall: 0.44838 | total f1 scroe: 0.53616
Epoch: 10 | mean loss: 83.41408 | total acc: 0.57064 | total recall: 0.60767 | total f1 scroe: 0.58857
Epoch: 11 | mean loss: 71.65928 | total acc: 0.60947 | total recall: 0.60767 | total f1 scroe: 0.60857
Epoch: 12 | mean loss: 77.12817 | total acc: 0.71616 | total recall: 0.48378 | total f1 scroe: 0.57746
Epoch: 13 | mean loss: 108.21388 | total acc: 0.76033 | total recall: 0.27139 | total f1 scroe: 0.40000
Epoch: 14 | mean loss: 79.29573 | total acc: 0.69582 | total recall: 0.53982 | total f1 scroe: 0.60797
Epoch: 15 | mean loss: 65.80447 | total acc: 0.53790 | total recall: 0.64897 | total f1 scroe: 0.58824
Epoch: 16 | mean loss: 62.66583 | total acc: 0.53704 | total recall: 0.59882 | total f1 scroe: 0.56625
Epoch: 17 | mean loss: 54.94645 | total acc: 0.70357 | total recall: 0.58112 | total f1 scroe: 0.63651
