Epoch: 0 | mean loss: 705.99139 | total acc: 0.40698 | total recall: 0.47782 | total f1 scroe: 0.43956
Epoch: 1 | mean loss: 862.95099 | total acc: 0.45847 | total recall: 0.47099 | total f1 scroe: 0.46465
Epoch: 2 | mean loss: 501.75919 | total acc: 0.46570 | total recall: 0.44027 | total f1 scroe: 0.45263
Epoch: 3 | mean loss: 1026.65784 | total acc: 0.52459 | total recall: 0.43686 | total f1 scroe: 0.47672
Epoch: 4 | mean loss: 623.46100 | total acc: 0.47511 | total recall: 0.35836 | total f1 scroe: 0.40856
Epoch: 5 | mean loss: 794.43463 | total acc: 0.48444 | total recall: 0.37201 | total f1 scroe: 0.42085
Epoch: 6 | mean loss: 986.93744 | total acc: 0.34483 | total recall: 0.34130 | total f1 scroe: 0.34305
Epoch: 7 | mean loss: 562.37567 | total acc: 0.63900 | total recall: 0.52560 | total f1 scroe: 0.57678
Epoch: 8 | mean loss: 503.48065 | total acc: 0.46605 | total recall: 0.51536 | total f1 scroe: 0.48947
Epoch: 9 | mean loss: 1374.37756 | total acc: 1.00000 | total recall: 0.01365 | total f1 scroe: 0.02694
Epoch: 10 | mean loss: 1253.65906 | total acc: 0.27821 | total recall: 0.48805 | total f1 scroe: 0.35440
Epoch: 11 | mean loss: 458.33896 | total acc: 0.42524 | total recall: 0.74744 | total f1 scroe: 0.54208
Epoch: 12 | mean loss: 349.67236 | total acc: 0.58079 | total recall: 0.45392 | total f1 scroe: 0.50958
Epoch: 13 | mean loss: 405.81314 | total acc: 0.60638 | total recall: 0.58362 | total f1 scroe: 0.59478
Epoch: 14 | mean loss: 450.84903 | total acc: 0.40928 | total recall: 0.66212 | total f1 scroe: 0.50587
Epoch: 15 | mean loss: 848.82996 | total acc: 0.47292 | total recall: 0.44710 | total f1 scroe: 0.45965
Epoch: 16 | mean loss: 616.51923 | total acc: 0.58621 | total recall: 0.17406 | total f1 scroe: 0.26842
Epoch: 17 | mean loss: 2203.88892 | total acc: 0.23958 | total recall: 0.23549 | total f1 scroe: 0.23752
Epoch: 18 | mean loss: 879.08142 | total acc: 0.55814 | total recall: 0.24573 | total f1 scroe: 0.34123
Epoch: 19 | mean loss: 576.83905 | total acc: 0.66832 | total recall: 0.46075 | total f1 scroe: 0.54545
